Coral,Dredge,Direction,Transect,Site,Habitat,Species,WPD,PM.norm,PM,Mortality.norm,Mortality,Bleaching.norm,Bleaching,Disease.norm,Disease,PB.norm,PB,Buried.norm,Buried,Comments,Oct.13,Nov.13,Dec.13,Jan.14,Feb.14,Mar.14,Apr.14,May.14,Jun.14,Jul.14,Aug.14,Sep.14,Oct.14,Nov.14,Dec.14,Jan.15,Feb.15,Mar.15,Jun.15,Jul.15
HBSC1-CP-2-2,control,S,5,2,1,MCAV,Susceptible,1,0,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBSC1-CP-2-3,control,S,5,2,1,SSID,Not Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-2-4,control,S,5,2,1,MCAV,Susceptible,0,1,1,0,1,0,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBSC1-CP-2-5,control,S,5,2,1,DSTO,Susceptible,1,0,0,1,1,0,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,DEAD,NORM
HBSC1-CP-2-6,control,S,5,2,1,DSTO,Susceptible,1,0,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBSC1-CP-2-7,control,S,5,2,1,SSID,Not Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-2-8,control,S,5,2,1,SBOU,Susceptible,1,0,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBSC1-CP-2-9,control,S,5,2,1,DSTO,Susceptible,1,0,0,1,1,0,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,DEAD
HBSC1-CP-2-10,control,S,5,2,1,SSID,Not Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-1,control,S,6,2,1,DCLI,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-2,control,S,6,2,1,DSTO,Susceptible,1,0,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,DIS,NORM
HBSC1-CP-3-3,control,S,6,2,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-4,control,S,6,2,1,SINT,Not Susceptible,1,0,1,0,0,1,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,BLE,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-5,control,S,6,2,1,DCLI,Susceptible,0,1,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,DEAD,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-6,control,S,6,2,1,PAST,Not Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-7,control,S,6,2,1,DSTO,Susceptible,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-8,control,S,6,2,1,DSTO,Susceptible,0,1,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM,NORM,NORM,NORM
HBSC1-CP-3-9,control,S,6,2,1,MCAV,Susceptible,0,1,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBSC1-CP-3-10,control,S,6,2,1,SINT,Not Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-1,channel,S,7,3,1,DCLI,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-2,channel,S,7,3,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-3,channel,S,7,3,1,DCLI,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-4,channel,S,7,3,1,DSTO,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-5,channel,S,7,3,1,ODIF,,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-6,channel,S,7,3,1,MCAV,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-7,channel,S,7,3,1,DCLI,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-1-8,channel,S,7,3,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-2-1,channel,S,8,3,1,SSID,Not Susceptible,1,0,1,0,0,1,1,0,0,1,0,1,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,BUR,NORM,NORM,NORM,NORM,NORM,NORM,BUR,BLE
HBS1-CP-2-2,channel,S,8,3,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-2-3,channel,S,8,3,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-2-4,channel,S,8,3,1,OFAV,,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-2-5,channel,S,8,3,1,DSTO,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-3-1,channel,S,9,3,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-3-2,channel,S,9,3,1,DSTO,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-3-3,channel,S,9,3,1,MCAV,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-3-4,channel,S,9,3,1,SSID,Not Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS1-CP-3-5,channel,S,9,3,1,DCLI,Susceptible,1,0,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-1-1,channel,S,10,4,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,0,1,MIS,NORM,NORM,PB,NORM,NORM,BUR,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-1-2,channel,S,10,4,1,MMEA,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,PB,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS2-CP-1-3,channel,S,10,4,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS2-CP-1-4,channel,S,10,4,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS2-CP-1-5,channel,S,10,4,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-1,channel,S,11,4,1,DSTO,Susceptible,1,0,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS2-CP-2-2,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBS2-CP-2-3,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-4,channel,S,11,4,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-5,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,MIS,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-6,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-7,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-8,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-2-9,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBS2-CP-2-10,channel,S,11,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-3-1,channel,S,12,4,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-3-2,channel,S,12,4,1,ODIF,,1,0,1,0,1,0,1,0,1,0,1,0,MIS,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-3-3,channel,S,12,4,1,ODIF,,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-3-4,channel,S,12,4,1,DSTO,Susceptible,0,1,1,0,1,0,0,1,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS,NORM
HBS2-CP-3-5,channel,S,12,4,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS2-CP-3-6,channel,S,12,4,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,0,1,,NORM,BUR,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-1,channel,S,13,5,1,MMEA,Susceptible,0,1,1,0,0,1,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,BLE,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-2,channel,S,13,5,1,SINT,Not Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-3,channel,S,13,5,1,DSTO,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-1-4,channel,S,13,5,1,SBOU,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-5,channel,S,13,5,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,PM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-1-6,channel,S,13,5,1,DSTO,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-7,channel,S,13,5,1,DSTO,Susceptible,0,1,1,0,1,0,1,0,0,1,1,0,,NORM,NORM,PB,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-1-8,channel,S,13,5,1,DSTO,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,PB,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-1-9,channel,S,13,5,1,ODIF,,1,0,1,0,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
HBS4-CR-2-1,channel,S,14,5,1,ODIF,,0,1,0,1,1,0,1,0,1,0,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-2-2,channel,S,14,5,1,DSTO,Susceptible,1,0,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-2-3,channel,S,14,5,1,DSTO,Susceptible,0,1,1,0,1,0,0,1,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DIS
HBS4-CR-2-4,channel,S,14,5,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,PB,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM
HBS4-CR-2-5,channel,S,14,5,1,SBOU,Susceptible,0,1,0,1,1,0,1,0,0,1,1,0,,NORM,NORM,NORM,NORM,NORM,PB,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,DEAD,NORM,NORM
HBS4-CR-2-6,channel,S,14,5,1,SSID,Not Susceptible,0,1,1,0,1,0,1,0,1,0,1,0,MIS,NORM,NORM,NORM,NORM,PM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM,NORM
